country,id,value,extraInfo,text_content,link_text,link_url_target,audio_url_1,audio_url_2,audio_url_3,image_url_source,image_url_target,video_url
Albania,AL,null,Falsch,,,,,,,,,
Austria,AT,0.2020,Falsch,"Index Score: 35,9",,,,,,,,
Belgium,BE,0.1460,Falsch,"Index Score: 16,7",,,,,,,,
Bulgaria,BG,0.2870,Falsch,"Index Score: 35,9",,,,,,,,
Bosnia and Herzegovina,BA,null,Falsch,,,,,,,,,
Switzerland,CH,null,Falsch,,,,,,,,,
Cyprus,CY,0.2120,Falsch,"Index Score: 35,9",,,,,,,,
Czechia,CZ,0.1930,Falsch,"Index Score: 35,9",,,,,,,,
Germany,DE,0.2190,Falsch,"Index Score: 35,9",,,,,,,,
Denmark,DK,0.1170,Falsch,"Index Score: 35,9",,,,,,,,
Estonia,EE,0.1890,Falsch,"Index Score: 35,9",,,,,,,,
Georgia,GE,null,Falsch,,,,,,,,,
Greece,EL,0.2360,Falsch,"Index Score: 35,9",,,,,,,,
Spain,ES,0.1970,Falsch,"Index Score: 35,9",,,,,,,,
Finland,FI,0.0990,Falsch,"Index Score: 35,9",,,,,,,,
France,FR,0.1780,Falsch,"Index Score: 35,9",,,,,,,,
Croatia,HR,0.2180,Falsch,"Index Score: 35,9",,,,,,,,
Hungary,HU,0.1930,Falsch,"Index Score: 35,9",,,,,,,,
Ireland,IE,0.1380,Falsch,"Index Score: 35,9",,,,,,,,
Iceland,IS,0.0750,Falsch,,,,,,,,,
Italy,IT,0.1650,Falsch,"Index Score: 35,9",,,,,,,,
Liechtenstein,LI,null,Falsch,,,,,,,,,
Lithuania,LT,0.1840,Falsch,"Index Score: 35,9",,,,,,,,
Luxembourg,LU,0.1050,Falsch,"Index Score: 35,9",,,,,,,,
Latvia,LV,0.2210,Falsch,"Index Score: 35,9",,,,,,,,
Montenegro,ME,null,Falsch,,,,,,,,,
North Macedonia,MK,null,Falsch,,,,,,,,,
Malta,MT,0.1940,Falsch,"Index Score: 35,9",,,,,,,,
Moldova,MD,null,Falsch,,,,,,,,,
Netherlands,NL,0.1460,Falsch,"Index Score: 35,9",,,,,,,,
Norway,NO,0.1020,Falsch,,,,,,,,,
Poland,PL,0.1840,Falsch,"Index Score: 35,9",,,,,,,,
Portugal,PT,0.1150,Falsch,"Index Score: 35,9",,,,,,,,
Romania,RO,0.1870,Falsch,"Index Score: 35,9",,,,,,,,
Serbia,RS,null,Falsch,,,,,,,,,
Sweden,SE,0.0640,Falsch,"Index Score: 35,9",,,,,,,,
Slovenia,SI,0.1660,Falsch,"Index Score: 35,9",,,,,,,,
Slovakia,SK,0.2040,Falsch,"Index Score: 35,9",,,,,,,,
Turkey,TR,null,Falsch,,,,,,,,,
United Kingdom,UK,null,Falsch,,,,,,,,,
Ukraine,UA,null,Falsch,,,,,,,,,
